I_rho,I_theta,I_sigma,I_E,I_B,I_H,I_M,C2_weyl,rho_mean,theta_mean,Q_D,Q_var,Q_shear,I_Q_derived,I_Q_var,I_Q_shear,model,t,I_rho_norm,I_theta_norm,I_sigma_norm,I_E_norm,I_B_norm,D_FLRW,I_rho_driver_fraction,I_theta_driver_fraction,I_sigma_driver_fraction,I_E_driver_fraction,I_B_driver_fraction,dominant_driver,regime,I_Q_recon,PC1,PC2
1.2596516656471944e-31,1.1821068044460394e-31,0.005258333333310926,9.584541666319046e-05,0.0,0.0,0.0,4.2204023648502974e-05,0.05865246501997091,0.48436541998773747,-0.0024673136951735342,5.551115123125783e-17,-0.0024673136951735898,0.010516666666621616,2.366104784006805e-16,0.010516666666621852,Bianchi-I,4.129113924050633,2.51476872165252e-30,2.4404386658354554e-29,0.015774999999940507,0.00032347828123842305,0.0,0.003219695656235786,2.3526514975205462e-29,2.207820955232344e-29,0.9820989507222273,0.017901049091002562,0.0,I_sigma,weak anisotropy-dominated,0.010516666666621852,0.380270025294473,-0.468594691233802
1.4748844075650573e-32,5.39323337431779e-32,0.005258333333310324,9.584541666299709e-05,0.0,0.0,0.0,4.005012069822206e-05,0.057136187091026934,0.4780635400907717,-0.002403528936962763,-9.25185853854297e-17,-0.0024035289369626705,0.010516666666621053,4.0481606358166197e-16,0.010516666666620648,Bianchi-I,4.1835443037974684,2.944459390915802e-31,1.1134235257809286e-29,0.0157749999999387,0.00032347828123777047,0.0,0.0032196956562352943,2.754641703542195e-30,1.0072942322550154e-29,0.9820989507222607,0.017901049090969106,0.0,I_sigma,weak anisotropy-dominated,0.010516666666620648,0.3802700252944771,-0.4685946912338033
1.5531518785261835e-32,0.0,0.005258333333309723,9.584541666279815e-05,0.0,0.0,0.0,3.803188815893225e-05,0.05567795606142699,0.47192353643966556,-0.0023421860183174556,3.700743415417188e-17,-0.0023421860183174925,0.010516666666619282,1.6616735226942876e-16,0.010516666666619446,Bianchi-I,4.237974683544303,3.100712578414872e-31,0.0,0.015774999999936895,0.000323478281237099,0.0,0.0032196956562347986,2.9008218641263563e-30,0.0,0.9820989507222954,0.017901049090934627,0.0,I_sigma,weak anisotropy-dominated,0.010516666666619446,0.3802700252944813,-0.46859469123380476
0.0,1.419390433888379e-32,0.005258333333309116,9.584541666259744e-05,0.0,0.0,0.0,3.613919924313688e-05,0.05427484639592029,0.4659392509584193,-0.002283161871721801,3.700743415417188e-17,-0.002283161871721838,0.010516666666618062,1.704630994440787e-16,0.010516666666618232,Bianchi-I,4.292405063291139,0.0,2.9303065372349656e-30,0.015774999999935074,0.0003234782812364216,0.0,0.003219695656234299,0.0,2.6509956053125388e-30,0.9820989507223301,0.01790104909089984,0.0,I_sigma,weak anisotropy-dominated,0.010516666666618232,0.3802700252944855,-0.4685946912338061
1.547090793550105e-31,1.3100545670021146e-31,0.0052583333333084984,9.584541666238667e-05,0.0,0.0,0.0,3.4362798165404884e-05,0.05292411457048674,0.46010483401281294,-0.0022263410862651506,1.1102230246251565e-16,-0.0022263410862652616,0.010516666666616471,5.244410008698435e-16,0.010516666666616997,Bianchi-I,4.346835443037975,3.0886122277125302e-30,2.704584566844211e-29,0.01577499999993322,0.00032347828123571027,0.0,0.0032196956562337863,2.88950157532482e-29,2.4467889996473492e-29,0.9820989507223666,0.017901049090863243,0.0,I_sigma,weak anisotropy-dominated,0.010516666666616997,0.38027002529448983,-0.46859469123380754
0.0,1.4922984082374685e-32,0.005258333333307867,9.584541666217049e-05,0.0,0.0,0.0,3.269421556797666e-05,0.05162318565098507,0.45441472533793514,-0.0021716153430516067,-5.551115123125783e-17,-0.002171615343051551,0.010516666666616003,2.688285822105539e-16,0.010516666666615734,Bianchi-I,4.40126582278481,0.0,3.0808237654414624e-30,0.015774999999931327,0.0003234782812349807,0.0,0.0032196956562332616,0.0,2.7871658337277267e-30,0.9820989507224042,0.017901049090825703,0.0,I_sigma,weak anisotropy-dominated,0.010516666666615734,0.3802700252944943,-0.4685946912338091
0.0,1.529437101927073e-32,0.005258333333307237,9.584541666194113e-05,0.0,0.0,0.0,3.1125693073940806e-05,0.05036964101239417,0.44886363636363646,-0.0021188828985881933,-3.700743415417188e-17,-0.0021188828985881565,0.010516666666614658,1.8367926299534338e-16,0.010516666666614475,Bianchi-I,4.455696202531645,0.0,3.157495944078657e-30,0.01577499999992944,0.0003234782812342066,0.0,0.0032196956562327295,0.0,2.8565297743378933e-30,0.9820989507224442,0.01790104909078574,0.0,I_sigma,weak anisotropy-dominated,0.010516666666614475,0.3802700252944987,-0.46859469123381053
0.0,0.0,0.005258333333306594,9.584541666170477e-05,0.0,0.0,0.0,2.965011588648898e-05,0.04916120708919962,0.4434465338198148,-0.00206804811155247,-3.700743415417188e-17,-0.002068048111552433,0.010516666666613375,1.8819429152153662e-16,0.010516666666613187,Bianchi-I,4.510126582278481,0.0,0.0,0.015774999999927507,0.0003234782812334089,0.0,0.0032196956562321835,0.0,0.0,0.9820989507224853,0.017901049090744532,0.0,I_sigma,weak anisotropy-dominated,0.010516666666613187,0.3802700252945033,-0.4685946912338121
0.0,0.0,0.005258333333305945,9.584541666146488e-05,0.0,0.0,0.0,2.8260952491994786e-05,0.04799574505915068,0.4381586245146978,-0.002019021008821684,1.850371707708594e-17,-0.0020190210088217027,0.010516666666611793,9.638207019280778e-17,0.01051666666661189,Bianchi-I,4.564556962025316,0.0,0.0,0.01577499999992556,0.00032347828123259926,0.0,0.003219695656231632,0.0,0.0,0.9820989507225273,0.0179010490907027,0.0,I_sigma,weak anisotropy-dominated,0.01051666666661189,0.38027002529450793,-0.46859469123381364
8.766526979944409e-32,0.0,0.005258333333305288,9.584541666121313e-05,0.0,0.0,0.0,2.695220064467818e-05,0.046871241372921875,0.432995341189367,-0.0019717168870876925,-1.850371707708594e-17,-0.001971716887087674,0.010516666666610677,9.869440479379011e-17,0.010516666666610577,Bianchi-I,4.618987341772152,1.7501495411717857e-30,0.0,0.015774999999923593,0.00032347828123174957,0.0,0.0032196956562310685,1.6373243008298766e-29,0.0,0.9820989507225711,0.01790104909065872,0.0,I_sigma,weak anisotropy-dominated,0.010516666666610577,0.38027002529451276,-0.4685946912338153
